2020-12-07T22:31:05.881Z /users - GET RESPONSE - 200
2020-12-07T22:31:06.870Z /time - GET RESPONSE - 200
2020-12-07T22:31:06.872Z /users - GET RESPONSE - 200
2020-12-07T22:31:06.877Z /time - GET RESPONSE - 200
2020-12-07T22:31:06.880Z /users - GET RESPONSE - 200
2020-12-07T22:31:07.872Z /time - GET RESPONSE - 200
2020-12-07T22:31:07.872Z /users - GET RESPONSE - 200
2020-12-07T22:31:07.873Z /time - GET RESPONSE - 200
2020-12-07T22:31:07.873Z /users - GET RESPONSE - 200
2020-12-07T22:31:08.877Z /time - GET RESPONSE - 200
2020-12-07T22:31:08.878Z /users - GET RESPONSE - 200
2020-12-07T22:31:08.880Z /time - GET RESPONSE - 200
2020-12-07T22:31:08.880Z /users - GET RESPONSE - 200
2020-12-07T22:31:09.870Z /time - GET RESPONSE - 200
2020-12-07T22:31:09.874Z /users - GET RESPONSE - 200
2020-12-07T22:31:09.877Z /time - GET RESPONSE - 200
2020-12-07T22:31:09.880Z /users - GET RESPONSE - 200
2020-12-07T22:31:10.846Z HTTP POST http://localhost:3003/service
2020-12-07T22:31:10.855Z - POST RESPONSE - 200
2020-12-07T22:31:10.859Z /status - GET RESPONSE - 200
2020-12-07T22:31:10.885Z /time - GET RESPONSE - 200
2020-12-07T22:31:10.887Z /users - GET RESPONSE - 200
2020-12-07T22:31:10.888Z /time - GET RESPONSE - 200
2020-12-07T22:31:10.888Z /users - GET RESPONSE - 200
2020-12-07T22:31:11.884Z /time - GET RESPONSE - 200
2020-12-07T22:31:11.885Z /users - GET RESPONSE - 200
2020-12-07T22:31:11.890Z /time - GET RESPONSE - 200
2020-12-07T22:31:11.890Z /users - GET RESPONSE - 200
2020-12-07T22:31:12.046Z /time - GET RESPONSE - 200
2020-12-07T22:31:12.050Z /users - GET RESPONSE - 200
2020-12-07T22:31:12.870Z /time - GET RESPONSE - 200
2020-12-07T22:31:12.871Z /users - GET RESPONSE - 200
2020-12-07T22:31:13.796Z /time - GET RESPONSE - 200
2020-12-07T22:31:13.796Z /users - GET RESPONSE - 200
2020-12-07T22:31:13.810Z /users - GET RESPONSE - 200
2020-12-07T22:31:13.871Z /time - GET RESPONSE - 200
2020-12-07T22:31:13.871Z /users - GET RESPONSE - 200
2020-12-07T22:31:14.794Z /time - GET RESPONSE - 200
2020-12-07T22:31:14.795Z /users - GET RESPONSE - 200
2020-12-07T22:31:14.869Z /time - GET RESPONSE - 200
2020-12-07T22:31:14.875Z /users - GET RESPONSE - 200
2020-12-07T22:31:15.794Z /time - GET RESPONSE - 200
2020-12-07T22:31:15.794Z /users - GET RESPONSE - 200
2020-12-07T22:31:15.879Z /time - GET RESPONSE - 200
2020-12-07T22:31:15.884Z /users - GET RESPONSE - 200
2020-12-07T22:31:16.797Z /time - GET RESPONSE - 200
2020-12-07T22:31:16.797Z /users - GET RESPONSE - 200
2020-12-07T22:31:16.870Z /time - GET RESPONSE - 200
2020-12-07T22:31:16.873Z /users - GET RESPONSE - 200
2020-12-07T22:31:17.794Z /time - GET RESPONSE - 200
2020-12-07T22:31:17.794Z /users - GET RESPONSE - 200
2020-12-07T22:31:17.880Z /time - GET RESPONSE - 200
2020-12-07T22:31:17.888Z /users - GET RESPONSE - 200
2020-12-07T22:31:18.797Z /time - GET RESPONSE - 200
2020-12-07T22:31:18.798Z /users - GET RESPONSE - 200
2020-12-07T22:31:18.869Z /time - GET RESPONSE - 200
2020-12-07T22:31:18.873Z /users - GET RESPONSE - 200
2020-12-07T22:31:19.855Z /time - GET RESPONSE - 200
2020-12-07T22:31:19.856Z - POST RESPONSE - 200
2020-12-07T22:31:19.873Z /time - GET RESPONSE - 200
2020-12-07T22:31:19.881Z /users - GET RESPONSE - 200
2020-12-07T22:31:20.872Z /time - GET RESPONSE - 200
2020-12-07T22:31:20.873Z /users - GET RESPONSE - 200
2020-12-07T22:31:20.878Z /users - GET RESPONSE - 200
2020-12-07T22:31:20.962Z /time - GET RESPONSE - 200
2020-12-07T22:31:20.963Z /users - GET RESPONSE - 200
2020-12-07T22:31:20.972Z /users - GET RESPONSE - 200
2020-12-07T22:31:21.876Z /time - GET RESPONSE - 200
2020-12-07T22:31:21.880Z /users - GET RESPONSE - 200
2020-12-07T22:31:21.966Z /time - GET RESPONSE - 200
2020-12-07T22:31:21.967Z /users - GET RESPONSE - 200
2020-12-07T22:31:22.870Z /time - GET RESPONSE - 200
2020-12-07T22:31:22.874Z /users - GET RESPONSE - 200
2020-12-07T22:31:22.961Z /time - GET RESPONSE - 200
2020-12-07T22:31:22.962Z /users - GET RESPONSE - 200
2020-12-07T22:31:23.874Z /time - GET RESPONSE - 200
2020-12-07T22:31:23.876Z /users - GET RESPONSE - 200
2020-12-07T22:31:23.962Z /time - GET RESPONSE - 200
2020-12-07T22:31:23.962Z /users - GET RESPONSE - 200
2020-12-07T22:31:24.871Z /time - GET RESPONSE - 200
2020-12-07T22:31:24.871Z /users - GET RESPONSE - 200
2020-12-07T22:31:25.848Z HTTP POST http://localhost:3003/service
